id;username;first_name;last_name;display_name;issue_department;default_issue_role_key;default_displayed_issue_role;is_available;in_office_from;office_hour_from;office_hour_to;timezone;created;modified;deleted
1;Customizable;Herman;Purdy;systematic National Outlying;Metrics mindshare seamless;Lira Salvador Tuna;bus Account;true;2023-01-26T12:56:55;2023-01-26T08:06:34;2023-01-26T10:18:18;expedite Music;2023-01-26T07:43:45;2023-01-26T18:10:07;2023-01-26T09:50:07
2;Cotton Handcrafted Car;Edna;Crooks;olive;24/7;sensor deposit;global interactive;true;2023-01-26T05:49:39;2023-01-26T06:26:47;2023-01-27T00:55:27;RSS engage;2023-01-26T19:28:40;2023-01-26T08:02:03;2023-01-26T13:31:37
3;solution-oriented Awesome;Aylin;Fritsch;withdrawal revolutionary;Rubber Dollar best-of-breed;Baby;PCI Loan Internal;false;2023-01-26T06:26:05;2023-01-27T03:03:59;2023-01-26T15:43:15;indexing Account;2023-01-26T21:26:01;2023-01-27T03:01:34;2023-01-26T21:24:05
4;Ball;Ofelia;Kemmer;portal Computers backing;virtual;Account cross-platform Card;Buckinghamshire services Incredible;false;2023-01-27T04:11:33;2023-01-27T04:11:38;2023-01-26T19:30:19;Cambridgeshire Checking;2023-01-26T23:01:08;2023-01-26T15:07:00;2023-01-26T12:39:18
5;homogeneous;Gaetano;Medhurst;mindshare navigate digital;Krone Cambridgeshire back;Graphical Optimized;deposit;false;2023-01-26T20:25:25;2023-01-26T15:12:00;2023-01-26T16:01:13;Ball Product;2023-01-26T22:34:24;2023-01-26T06:55:33;2023-01-27T03:51:55
6;Concrete Guinea;Kale;Jacobs;Glen;mobile;Pizza 24/7 Bedfordshire;Savings Wall Ohio;false;2023-01-26T06:08:40;2023-01-27T04:47:00;2023-01-26T11:44:56;Wooden;2023-01-26T17:27:50;2023-01-26T20:38:55;2023-01-26T20:36:32
7;navigate microchip;Stephanie;Armstrong;Pizza SCSI;generate initiatives Account;reinvent Front-line GB;navigate channels;false;2023-01-27T00:51:41;2023-01-27T00:39:27;2023-01-26T18:07:54;Radial bandwidth;2023-01-26T05:20:12;2023-01-26T13:28:57;2023-01-26T17:27:43
8;radical Wooden migration;Althea;Davis;viral benchmark Track;Interactions quantify e-commerce;parse THX Orchestrator;Berkshire customer;false;2023-01-26T08:17:33;2023-01-26T20:49:13;2023-01-26T10:52:40;bus;2023-01-26T05:13:05;2023-01-26T17:36:54;2023-01-26T09:11:14
9;blue Investment Crossing;Delphine;Lang;24/365 generate Ergonomic;redundant;Metal Michigan West;Shoes Brunei;true;2023-01-27T02:36:05;2023-01-27T04:41:35;2023-01-26T16:26:38;Bulgaria Applications world-class;2023-01-26T12:32:18;2023-01-26T21:41:06;2023-01-26T15:04:12
10;bypassing infomediaries Ocean;Breanne;Hodkiewicz;District XSS Licensed;Global;Automotive;emulation;true;2023-01-26T19:49:32;2023-01-26T08:32:55;2023-01-26T07:42:12;Account Rustic Tools;2023-01-26T15:14:24;2023-01-26T08:15:34;2023-01-26T05:12:31
